ID,Brand,Product Name,Product Price,Purchases in Past Month,Total Reviews,AVG Rating,Gender,Date Uploaded
1,Salomon,Men's Sense Ride 4 Running Shoes Trail,76.89,0,1127,4.4,Men's,2023-10-31
2,FefiYo,Mens Air Running Shoes Comfortable Walking Tennis Sneakers Lighweight Athletic Shoes for Sport Gym Jogging US 7-12,46.99,0,593,4.1,Men's,2023-10-31
3,New Balance,"Men's Fresh Foam Arishi V3 Running Shoe, Black/Phantom/Deep Earth Red, 11",52.23,0,14,4.4,Men's,2023-10-31
4,adidas,"Men's Ultraboost 5.0 Alphaskin Running Shoe, Black/Black/Green, 11.5",139.49,0,8,4.2,Men's,2023-10-31
5,ASICS,Men's Gel-Nimbus 23 Knit Running Shoes,74.95,0,458,4.2,Men's,2023-10-31
6,Saucony,"Men's Kinvara 13 Running Shoe, Blue RAZ/Black, 8",0,0,2,5,Men's,2023-10-31
7,Nike,Men's Competition Running Shoes,0,0,831,4.5,Men's,2023-10-31
8,ASICS,Men's Gel-Kayano 28 Mesh Knit Running Shoes,89.95,0,221,4.3,Men's,2023-10-31
9,New Balance,Men's Fresh Foam 1080 V11 Running Shoe,142.85,0,5595,4.5,Men's,2023-10-31
10,VAMJAM,Men's Socks Sneakers Slip On Lightweight Breathable Comfortable Fashion Walking Shoes…,20.99,0,2742,4.3,Men's,2023-10-31
11,ONN,Running Shoes,155.15,0,605,4.6,Men's,2023-10-31
12,Skechers,mens Gorun Elevate - Athletic Slip-on Workout Running Shoe Sneaker With Cushioning,63.92,0,109,4.5,Men's,2023-10-31
13,ASICS,Men's Gel-DS Trainer 26 Running Shoes,0,0,217,4.7,Men's,2023-10-31
14,Brooks,Men's Addiction GTS 15 Supportive Running Shoe,139.95,0,732,4.5,Men's,2023-10-31
15,adidas,Men's Adizero Boston 11 Sneaker,95,0,285,4.2,Men's,2023-10-31
16,Hetohec,Mens Running Shoes Slip on Walking Tennis Sneakers Lightweight Breathable Mesh Workout Casual Sports Shoes Soft Sole,29.99,0,1222,4.3,Men's,2023-10-31
17,Nike,Men's Running Shoes,84.94,0,6797,4.5,Men's,2023-10-31
18,New Balance,"Men's Fresh Foam Arishi V3 Running Shoe, Gunmetal/Steel/Black, 10",69.95,0,192,4.6,Men's,2023-10-31
19,New Balance,"Men's Fresh Foam Arishi V3 Running Shoe, Gunmetal/Steel/Black, 11",69.95,0,216,4.4,Men's,2023-10-31
20,HOKA ONE ONE,"Clifton 8 Mens Shoes Size 12, Color: Goblin Blue/Mountain Spring",154,0,4,3.7,Men's,2023-10-31
21,New Balance,"Men's Fresh Foam Arishi V3 Running Shoe, Black/Phantom/Deep Earth Red, 13",51.95,0,14,4.3,Men's,2023-10-31
22,adidas,Men's 70s Running Shoe,45,0,581,4.4,Men's,2023-10-31
23,Merrell,Men's Vapor Glove 5 Sneaker,66.95,0,411,4.5,Men's,2023-10-31
24,adidas,"Men's Ultraboost 5.0 Alphaskin Running Shoe, Shadow Navy/Wonder Steel/Impact Orange, 10",124.1,0,12,4.3,Men's,2023-10-31
25,adidas,"Men's Run Falcon 3.0 Shoe, Grey/Black/Carbon, 9",48.75,0,12,4.5,Men's,2023-10-31
26,Under Armour,UA Charged Bandit Trail,64.31,0,1710,4.5,Men's,2023-10-31
27,Saucony,Men's Omni 21 Running Shoe,76,0,78,4.2,Men's,2023-10-31
28,Nike,mens Modern,149.97,0,59,4.7,Men's,2023-10-31
29,adidas,"Men's Ultraboost 5.0 Alphaskin Running Shoe, Shadow Navy/Wonder Steel/Impact Orange, 9.5",108.42,0,12,4.8,Men's,2023-10-31
30,Under Armour,Men's HOVR Sonic 5 Running Shoe,76.77,0,565,4.5,Men's,2023-10-31
31,Ahico,Men Walking Shoes Fashion Sneaker Running Athletic Non Slip Platform Socks Shoe Stylish Casual Fitness Comfortable Sports,29.99,0,422,4,Men's,2023-10-31
32,adidas,Unisex-Adult Vulcraid3r Slip on Running Shoe,31.25,0,139,3.9,Men's,2023-10-31
33,DUORO,Men Athletic Shoes Running Shoes Non Slip Blade Road Running Tennis Shoes Walking Sport Sneakers,43.99,0,5351,4,Men's,2023-10-31
34,Reebok,Men's Energen Plus 2.0 Running Shoe,37.81,0,144,4.2,Men's,2023-10-31
35,Under Armour,Men's Charged Impulse 2 Knit Road Running Shoe,64.97,0,404,4.6,Men's,2023-10-31
36,AiEles,Mens Air Running Shoes Athletic Tennis Sneakers US 7.5-US 13…,42.99,0,449,4.1,Men's,2023-10-31
37,New Balance,"Men's Fresh Foam Arishi V3 Running Shoe, Angora/Timberwolf/Night Tide, 11.5",51.95,0,5,3.2,Men's,2023-10-31
38,Cole Haan,Men's 5.Zerogrand Runner Sneaker,0,0,3,3.5,Men's,2023-10-31
39,Nike,Air Max 90 DQ4071 101 Men's Fashion Shoes,164,0,35,4.7,Men's,2023-10-31
40,Brooks,Men's Glycerin 19 Neutral Running Shoe,0,0,4851,4.6,Men's,2023-10-31
41,Nike,Men's Tennis Shoe,0,0,4567,4.5,Men's,2023-10-31
42,Dannto,Men Women Running Shoes Lightweight Breathable Walking Sneakers Athletic Tennis Sport Gym Fashion On Cloud,18.89,0,313,4.2,Men's,2023-10-31
43,Santiro,Mens Sneakers Gym Breathable Tennis Running Walking Slip On Shoes,0,0,233,4.2,Men's,2023-10-31
44,adidas,mens Run Falcon 3.0,49,0,8,4.8,Men's,2023-10-31
45,Nike,Air Max TW (Men's Shoes),85,0,24,4.4,Men's,2023-10-31
46,HOKA ONE ONE,"Hoka One Men's Running Shoes, 9.5 AU",164,0,25,4.1,Men's,2023-10-31
47,Nike,Air Men's Shoes For Men,125.04,0,18446,4.4,Men's,2023-10-31
48,PUMA,Men's Axelion Sleek,74.23,0,2127,4.5,Men's,2023-10-31
49,VAMJAM,Men's Running Shoes Ultra Lightweight Breathable Walking Shoes Non Slip Athletic Fashion Sneakers Mesh Workout Casual Sports Shoes,34.99,0,7540,4.1,Men's,2023-10-31
50,Brooks,Men's Adrenaline GTS 22 Supportive Running Shoe,99.95,100,11915,4.7,Men's,2023-10-31
51,Tvtaop,Mens Tennis Shoes Athletic Running Shoes Lightweight Sneakers Non Slip Walking Gym Shoes,21.99,50,3589,4,Men's,2023-10-31
52,SDolphin,Men's Running Shoes Sneakers - Tennis Workout Walking Gym Athletic Rubber Sole Breathable Comfortable Non Slip Fashion Shoes,49.99,0,1271,4.3,Men's,2023-10-31
53,PUMA,Men's Axelion Sleek,74.23,0,2127,4.5,Men's,2023-10-31
54,New Balance,Women's Fresh Foam X 860 V12 Running Shoe,105,0,1781,4.5,Men's,2023-10-31
55,New Balance,Men's Fresh Foam 880v11,0,0,1474,4.5,Men's,2023-10-31
56,Nike,Roshe Run Rosherun Iguana NSW Mens Sportswear Running Shoes 511881-201,45,0,0,0,Men's,2023-10-31
57,ASICS,Men's Gel-Nimbus 23 Running Shoes,0,0,5382,4.6,Men's,2023-10-31
58,New Balance,"Men's Fresh Foam Arishi V3 Running Shoe, Black/Phantom/Deep Earth Red, 11.5 X-Wide",52.95,0,4,4.7,Men's,2023-10-31
59,adidas,Men's Alphaboost V1 Running Shoe,57.95,0,110,4.5,Men's,2023-10-31
60,ASICS,Men's Gel-Excite Trail Running Shoes,49.95,0,956,4.6,Men's,2023-10-31
61,Mizuno,Men's Wave Rebellion Running Shoe,69.99,0,119,4.1,Men's,2023-10-31
62,ASICS,Men's Jogger X81 Sportstyle Shoes,59.9,0,98,4.6,Men's,2023-10-31
63,Saucony,Men's Triumph 17 Running Shoe,92.33,0,3228,4.6,Men's,2023-10-31
64,ASICS,Men's Hyper Speed 2 Running Shoes,69.95,0,30,4.6,Men's,2023-10-31
65,M MAGPER,Mens Air Running Shoes Athletic Non Slip Walking Jogging Tennis Sneakers(US 7-12.5 D(M))…,42.99,0,1288,4.2,Men's,2023-10-31
66,Brooks,Men’s Levitate StealthFit 5 Neutral Running Shoe,71.48,0,807,4.5,Men's,2023-10-31
67,ALTRA,Men's AL0A546Z Superior 5 Trail Running Shoe,69.63,0,1218,4.3,Men's,2023-10-31
68,Topo Athletic,"Men's Phantom 2 Comfortable Lightweight 5MM Drop Road Running Shoes, Athletic Shoes for Road Running",98,0,174,4.2,Men's,2023-10-31
69,adidas,Men's Puremotion Running Shoe,35.99,0,352,4.5,Men's,2023-10-31
70,Nike,Women's Race Running Shoe,106.7,0,781,4.5,Men's,2023-10-31
71,Nike,Women's Stroke Running Shoe,55.97,0,1329,4.4,Men's,2023-10-31
72,Saucony,Unisex-Adult Excursion TR11 Running Shoe,42.95,0,4024,4.6,Men's,2023-10-31
73,New Balance,Men's 680v6 Cushioning Running Shoe,66,0,11354,4.6,Men's,2023-10-31
74,adidas,"Unisex-Adult Adizero SL Running Shoes Men's, Grey, Size 11",66,0,2,5,Men's,2023-10-31
75,adidas,"Men's Ultraboost 5.0 Alphaskin Running Shoe, White/White/White, 13",170,0,11,4.5,Men's,2023-10-31
76,Nike,"Men's Athletics Shoes, 10.5 AU",176.8,0,2192,4.5,Men's,2023-10-31
77,Nike,Men's Sneaker,65.77,0,206,4.3,Men's,2023-10-31
78,adidas,Men's SL20 Running Shoe,30.99,0,283,4.6,Men's,2023-10-31
79,ASICS,Men's GT-II Shoes,99.98,0,161,4.6,Men's,2023-10-31
80,Nike,Men's Todos Running Shoe,98,0,2245,4.3,Men's,2023-10-31
81,Vivobarefoot,mens Low-top,159.95,0,136,4.3,Men's,2023-10-31
82,New Balance,"Men's Fresh Foam Arishi V3 Running Shoe, Black/Orca/Silver Metallic, 12 X-Wide",69.95,0,24,4.4,Men's,2023-10-31
83,New Balance,Men's FuelCell Supercomp Elite V3 Running Shoe,219.99,0,65,4.5,Men's,2023-10-31
84,Nike,Men's Sneaker,93.97,0,115,4.5,Men's,2023-10-31
85,Salomon,Men's XA PRO 3D Gore-TEX Trail Running Shoes,169.95,0,7729,4.5,Men's,2023-10-31
86,Nike,Men's Sneaker,90.6,0,3786,4.2,Men's,2023-10-31
87,Nike,Men's Sneaker,88.01,0,7014,4.4,Men's,2023-10-31
88,New Balance,"Men's Fresh Foam Arishi V3 Running Shoe, Angora/Timberwolf/Night Tide, 13 X-Wide",53.95,0,6,4.5,Men's,2023-10-31
89,HOKA ONE ONE,"Men's Gymnastics Shoes Sneaker, 8.5 US",219.94,0,1434,4.5,Men's,2023-10-31
90,adidas,Swift Run 22 Shoes Men's,57.7,0,51,4.3,Men's,2023-10-31
91,adidas,Galaxy 5 Mens Adult Running Fitness Trainer Shoe Black/White,50,0,398,4.6,Men's,2023-10-31
92,HOKA ONE ONE,"Men's Low-Top Sneakers, 0",152.71,0,47,4,Men's,2023-10-31
93,Brooks,Mens Divide Running Shoe,69.94,0,279,4.4,Men's,2023-10-31
94,adidas,Men's Ultraboost 22 Cool.rdy Running Shoe,0,0,133,4.2,Men's,2023-10-31
95,ASICS,Gel-Nimbus 21 Men's Running Shoe,119.87,0,5243,4.6,Men's,2023-10-31
96,adidas,Men's Supernova,70,0,1471,4.4,Men's,2023-10-31
97,Topo Athletic,Phantom 3 - Men's,144.95,0,27,3.7,Men's,2023-10-31
98,Nike,Men's Child (4-8 Years) Low-top Trainers,91.01,0,2065,4.4,Men's,2023-10-31
99,ON,"Men's Cloudswift Running Shoes, Alloy/Eclipse, 11",169.99,0,6,4.8,Men's,2023-10-31
100,SOBASO,Mens Hiking Shoes Trail Running Shoes Stylish Slip Resistant Fitness Walking Jogging Sock Sneakers,11.12,0,997,4,Men's,2023-10-31
101,Brooks,Men's Adrenaline GTS 22 Supportive Running Shoe,99.95,100,11915,4.7,Men's,2023-10-31
102,Under Armour,Men's Charged Assert 10 Running Shoe,56.25,0,1299,4.5,Men's,2023-10-31
103,TSIODFO,Mens Running Shoes Athletic Walking Sneakers,39.9,0,3660,4.1,Men's,2023-10-31
104,wanhee,Men's Sneakers Athletic Sport Running Shoes,39.9,0,2819,4.2,Men's,2023-10-31
105,ON,"Men's Cloudflyer 4 Running Shoe, Black/White, 9",163.6,0,2,5,Men's,2023-10-31
106,Vibram,"Men's Five Fingers, EL-X Shoe",85.95,0,2897,4.5,Men's,2023-10-31
107,GoodValue,Men's Trail Running Shoes Waterproof Hiking Shoes Cushioning Outdoor Walking Sneakers All Terrain Trekking Rugged Trail,25.99,0,1644,3.7,Men's,2023-10-31
108,adidas,Men's Terrex Trailrider Trail Running Shoe,66.82,0,198,4.5,Men's,2023-10-31
109,New Balance,Men's Fresh Foam X Evoz V3 Running Shoe,80.28,0,119,4.5,Men's,2023-10-31
110,Saucony,Men's Guide 10 Running Shoes,72.95,0,1103,4.5,Men's,2023-10-31
111,Nike,Men's Race Running Shoe,0,0,7014,4.4,Men's,2023-10-31
112,SKDOIUL,Sport Running Shoes for Mens Mesh Breathable Trail Runners Fashion Sneakers,39.99,0,8431,4.1,Men's,2023-10-31
113,ASICS,Men's Fuji Lite 2 Running Shoes,69.45,0,95,4.5,Men's,2023-10-31
114,ASICS,Men's Magic Speed 2 Running Shoes,99.95,0,71,4.5,Men's,2023-10-31
115,adidas,Men's X9000l4 Running Shoe,119.9,0,1153,4.4,Men's,2023-10-31
116,Nike,Men's Epic Phantom React FK Sneaker,159,0,88,4.3,Men's,2023-10-31
117,Saucony,Men's Cohesion 15 Running Shoes,46.73,0,12,4.7,Men's,2023-10-31
118,Nike,Air Max Flyknit Racer,101.54,0,185,4,Men's,2023-10-31
119,Nike,mens Running Shoes,131.3,0,7,4.1,Men's,2023-10-31
120,adidas,Men's Ultraboost Cold.rdy Running Shoe,125.2,0,567,4.2,Men's,2023-10-31
121,New Balance,Men's Xc Seven V4 Running Shoe,50.48,0,66,4.5,Men's,2023-10-31
122,adidas,"Men's Ultraboost 5.0 Alphaskin Running Shoe, White/White/White, 11.5",0,0,5,4.8,Men's,2023-10-31
123,Brooks,Men’s Levitate StealthFit GTS 5 Supportive Running Shoe,130.66,0,246,4.5,Men's,2023-10-31
124,Fila,Men's Tri Runner Leather Shoe,49.9,0,274,4.3,Men's,2023-10-31
125,adidas,"Men's Ultraboost 5.0 Alphaskin Running Shoe, Shadow Navy/Wonder Steel/Impact Orange, 9",108.27,0,4,4,Men's,2023-10-31
126,New Balance,Men's Fresh Foam X Vongo V5 Running Shoe,0,0,538,4.5,Men's,2023-10-31
